id1,id2,ra1,de1,plx1,plx2,pmra1,pmde1,pmra2,pmde2,epmra1,epmde1,epmra2,epmde2,g1,g2,mh1,mh2,sep_asec
3969885761146749824,3969885761146749952,165.58037763161838,16.50752079294545,38.99272769520145,38.98973299981673,-16.591537889547972,-163.25315073395075,-17.01755299371196,-167.5096610620998,0.023470238,0.021491786,0.024693286,0.02044769,10.642384,10.744586,-0.192,-0.1564,18.685108504686504
5389589399865860736,5389589399865881344,167.91450832978043,-41.049606368752336,24.407586511102497,24.343679170204297,24.762163525532646,-31.158475899518468,25.7896916552791,-28.679285728351992,0.017864462,0.017314589,0.018270146,0.018814916,11.581633,13.868887,,-0.78,13.879326430555512
5394967832790881152,5394967832790881536,163.55003780929158,-37.267190419968166,25.57402820955378,25.610610271864154,57.573482003770884,-143.3490788023708,58.62988339090961,-147.54403068823984,0.025232349,0.022291098,0.020540839,0.018233271,14.51849,8.23891,-0.9405,-0.2399,13.602471823842968
5445414182188742912,5445414216548603520,154.61947895061274,-35.76661033650147,21.26588669686693,21.37466037022711,-24.120315229620353,-109.96384930688164,-24.806237995422208,-108.28251946042907,0.018716201,0.022778299,0.020048749,0.024434786,14.625838,7.4583716,,,75.90939103474594
5730445043924684288,5730445323098531456,136.02266190472218,-15.921955111362445,36.62811926386295,36.512080559017114,-109.02683115446254,-32.51169097470306,-107.74199295343672,-30.685722106280906,0.018430779,0.017106669,0.020702956,0.016204786,11.753754,8.463984,-0.9019,-0.1661,220.02231250095497
498705317211677312,498708306508914048,86.45843483093361,72.90250469291843,35.095870565610824,35.09630968234763,80.05487698760906,114.13138713535066,81.20498139209488,113.58627602442715,0.0123195425,0.014435178,0.011944014,0.014114776,11.985621,12.041643,-0.8161,-0.7946,81.36605545861859
811947078931179264,811947108994206976,139.82759580927464,38.52107982875901,51.736767906469005,51.72688058788411,-234.5492213294861,-0.9612695841710568,-238.97412138863393,-1.2417359063752853,0.018127464,0.020806398,0.018515095,0.020535365,13.049586,13.169245,-0.3109,,7.499908130386549
916482150508905856,917982605923642752,126.05473071624667,44.945138733024976,27.108302593721262,27.119684880462913,-60.292607223430444,-176.62232954661707,-63.2842028164494,-177.9451885499218,0.018172594,0.015002946,0.024212161,0.019313985,8.937119,7.535038,-0.0472,-0.1412,29.124809109356796
1019174509319377536,1019361632454363904,140.2622564377403,51.30663271339722,34.29038724494087,34.25178861523468,-38.37973351970703,140.274551474171,-35.156279712026326,143.91776945927575,0.018505454,0.016462553,0.020184668,0.019382203,7.639302,6.033801,-0.5444,-0.625,230.74521826002288
1414462752119347456,1414462752119347840,258.16885984496435,49.757910352782645,24.059834463825286,24.152028610371868,-11.620323013217105,73.58893195320658,-12.303206681644177,75.30645410344316,0.07786043,0.09352899,0.021050833,0.025431806,17.0835,14.921009,,-0.0548,13.594071840736893
1503608646638762368,1503608646638762624,205.01535632263742,45.91688673155863,21.737009635499987,21.735902348537135,74.4804158778002,-194.1156310579321,74.93149220009963,-199.3328974416592,0.013428665,0.017031984,0.013505258,0.017681802,13.785518,11.40377,,-1.4431,8.88781715001743
1547052653157671808,1547052687517410432,185.92212458200396,49.06797239138163,22.184043871109452,22.192937667228904,-99.73863015657946,-44.074171157453094,-96.51006525617575,-47.39251588869615,0.019232087,0.026619377,0.012880176,0.017209304,15.2729435,14.294846,-0.1149,,12.136684503327517
1547052653157671808,1547052687517410304,185.92212458200396,49.06797239138163,22.184043871109452,22.204055669258096,-99.73863015657946,-44.074171157453094,-99.00525603636578,-42.1538324921098,0.019232087,0.026619377,0.015674599,0.021593407,15.2729435,14.616671,-0.1149,0.079,11.598821594498462
1581821817869948416,1581821822164588416,185.66598142644742,60.981474153857725,24.330887322995405,24.26195212527512,-20.95661937425306,-124.27877886707316,-26.281124416947854,-124.63649219009716,0.017752653,0.020965489,0.017503753,0.017889133,14.217623,11.6145115,-0.682,,2.7838196538470417
1670968816195091584,1670968816195091968,209.17855973488716,64.66503167329455,25.347172410582797,25.27707772587704,76.70729771085072,-160.294589781868,72.20896043472251,-160.61737891872332,0.014777218,0.014040357,0.023609743,0.02245082,9.8150425,12.678136,0.1743,,7.953133260682218
1672559637721768960,1672559637721769088,208.59357590756954,66.85802925712699,20.86061948893312,20.954340195089923,98.31670645597468,-43.55552048028203,94.28714088894641,-39.54042929204343,0.021303546,0.01846883,0.035311498,0.030715147,14.635428,15.5367775,,-0.3801,3.9781576059992245
1676193588077140224,1676193794240677632,196.97497316123065,62.984017125586114,20.48892888723896,20.458539056435963,-39.45545217065196,12.099790978343847,-36.849923776729085,11.148747912162989,0.061500162,0.06909124,0.016816666,0.01853829,15.65703,8.349151,,-0.4633,5.7257249617212835
1760208512799081984,1760208512800938752,316.28210102552436,14.591019994895104,25.086233493242556,25.126517079534718,508.7393129714917,-0.8844252906662058,510.83039583118875,-3.293166089562641,0.1864103,0.15025412,0.015883511,0.013008819,18.442322,11.937369,,,9.208703895631928
2066441330273174144,2066441502071859456,309.97157991969016,42.34334965850674,20.35419911746376,20.38785373512269,374.4491672075988,142.70579399949133,374.5948956172325,142.77013950425004,0.01601859,0.01787446,0.035147995,0.03766438,14.364984,15.845237,,-0.3947,135.73556876699678
2173241739422383360,2173241842501597056,326.7862103074046,53.157922508206134,30.255704478609918,30.233935706502283,137.42087006405083,-190.53885576763125,137.67773010579538,-188.67208018155793,0.015483327,0.013583237,0.016865956,0.014730138,13.666571,12.23896,-0.7876,-0.7663,13.714821734905714
2194570134681591680,2194570134682628864,310.0746668125664,60.50609153866189,30.056550525607722,30.03262705583916,12.765681959715124,185.97602590619476,9.586486045731604,182.42473608290007,0.024246883,0.02095442,0.056126215,0.05620616,5.9106083,12.818431,-0.1852,-0.7937,23.872881551359768
2206034982946858112,2206035326544214400,331.6894125828448,63.72126553000142,23.826213169258814,23.827683402785716,77.32528233215788,30.163640312979442,80.52387182939863,28.82558496048337,0.029222002,0.027253184,0.014038278,0.014344552,15.0679865,10.192403,0.13,0.4175,133.51696997740407
2211369882080370304,2211369980859065344,340.03321570246027,64.381397892475,20.580427631333716,20.54179934079153,144.63980619490883,-38.12733902345016,144.621320201881,-38.85110349733557,0.03053234,0.030862072,0.017128164,0.01656139,15.444336,12.076139,,,50.652279593282096
2225502832743217536,2225502935823254272,344.7182931479434,69.02829971813867,23.398554583411354,23.39015268153234,594.6784772219064,303.67652180139436,593.5597544405088,298.5514418656944,0.015259376,0.014335592,0.013506897,0.0142336525,13.289716,8.545535,,-0.2527,21.498857721986067
2281893657394021376,2281893863552449408,359.51736438063597,78.60781411675364,39.03652716582513,39.01580239628564,474.64021963327843,-136.9682576568396,476.4132050205063,-137.73314437875894,0.01745246,0.015686417,0.019386413,0.017859558,12.463663,12.769293,,-1.1483,31.640266283853887
2447815253423324544,2447815287783063040,0.04708722456004957,-4.054136133682911,22.541157362742414,22.7829667306099,-117.81057718560598,21.31318153603385,-119.28771406263421,24.12190658187199,0.14034426,0.10157061,0.021315213,0.016381344,17.780184,10.441756,,-4.0E-4,18.891557004021127
2523361151179609344,2523361185538015744,10.197852897678386,-7.233021718032282,37.792390705217514,37.51566470086166,1.3991915747870762,-92.72664603596694,0.9298524006424871,-93.72800332527001,0.046205543,0.027545342,0.089944735,0.07039431,6.8973174,13.821791,-0.5274,,99.92395908403194
2654203000524231424,2654203000524811264,338.9020118633266,0.5423826236671695,24.32042597356851,24.279663884979467,12.577654693783606,-43.961158799144044,8.690266166325477,-39.064187850780705,0.02060003,0.018893963,0.05554054,0.050302777,13.879067,13.910213,-0.7958,-0.7823,4.407804979033084
2743198605549406464,2743198605549742464,356.96992833524007,4.175337251304017,22.242005163544444,22.514701762906174,352.5411614343454,-31.589671812888415,354.0417780715991,-30.39620323570168,0.07815226,0.046774086,0.15323417,0.09182917,7.546207,17.195534,-0.2189,,24.916295932625005
4969539021334492544,4969539399290224000,29.849465164941,-34.108242314835536,20.266688740230176,20.25829104493094,-94.14992250705515,21.692856771710222,-95.1837671397241,21.56863884410392,0.051203746,0.065249555,0.29956967,0.35524908,16.945097,19.889505,,,16.672350276770338
4970034901079522688,4970034901079522816,32.97466379732319,-34.42969607569702,21.723861943321136,21.64955155797014,-36.9791019749008,-140.66477813556196,-35.19742368592759,-141.01576328882737,0.008578406,0.016771534,0.010953799,0.021309908,12.964862,14.943377,,,3.834653642452458
